Date,Channel,Impressions,Clicks,Signups,Purchases,Spend
6/4/2024,Instagram,8208,696,141,42,2348.93
6/4/2024,YouTube,9494,788,247,117,2674.98
6/5/2024,Google Ads,11760,1616,573,207,3151.64
6/5/2024,Instagram,14758,1534,590,223,4990.93
6/5/2024,YouTube,11174,1446,549,259,3081.94
6/6/2024,Google Ads,7383,783,312,148,2194.62
6/6/2024,Instagram,13736,1294,267,100,3766.86
6/6/2024,YouTube,10009,982,260,78,3162.01
6/7/2024,Google Ads,11075,1404,435,172,3546.36
6/7/2024,Instagram,13044,1268,297,123,3960.58
6/7/2024,YouTube,11836,1673,357,169,3032.96
6/8/2024,Google Ads,10876,1327,364,180,3461.95
6/8/2024,Instagram,7055,774,194,91,1885.4
6/8/2024,YouTube,14484,1618,394,188,4630.09
6/9/2024,Google Ads,7587,955,252,121,2541.11
6/9/2024,Instagram,13049,1726,547,191,3799.84
6/9/2024,YouTube,13311,1994,760,309,3545.54
6/10/2024,Google Ads,8399,988,381,179,2414.94
6/10/2024,Instagram,13593,1504,522,159,3612.78
6/10/2024,YouTube,9642,1228,410,191,2506.97
6/11/2024,Google Ads,10234,1004,339,159,3125.41
6/11/2024,Instagram,9888,959,233,103,3224.63
6/11/2024,YouTube,14376,1955,527,262,3984.43
6/12/2024,Google Ads,10904,1493,426,130,3235.28
6/12/2024,Instagram,7324,999,334,150,2296.59
6/12/2024,YouTube,9531,1156,282,116,2566.5
6/13/2024,Google Ads,14575,2179,707,308,4977.17
6/13/2024,Instagram,10604,868,299,142,3010.28
6/13/2024,YouTube,10661,1262,406,188,3510.54
6/14/2024,Google Ads,12758,1647,408,186,3330.17
6/14/2024,Instagram,7517,919,279,109,2287.06
6/14/2024,YouTube,11767,1043,210,74,4094.07
6/15/2024,Google Ads,10990,984,225,68,3337.06
6/15/2024,Instagram,11472,1021,300,127,3580.74
6/15/2024,YouTube,13537,1262,316,150,3915.93
6/16/2024,Google Ads,10903,1489,447,176,2779.98
6/16/2024,Instagram,8838,720,243,114,2697.61
6/16/2024,YouTube,11376,1337,385,151,3653.51
6/17/2024,Google Ads,14975,1677,629,278,5205.91
6/17/2024,Instagram,9383,1056,276,92,3260.96
6/17/2024,YouTube,14651,1788,615,285,3790.05
6/18/2024,Google Ads,12729,1439,465,210,3989.18
6/18/2024,Instagram,13601,1562,456,187,4075.29
6/18/2024,YouTube,12044,1378,344,104,3984.89
6/19/2024,Google Ads,12692,1680,528,228,4434.94
6/19/2024,Instagram,10319,1236,324,118,3132.05
6/19/2024,YouTube,9643,1309,298,120,2507.53
6/20/2024,Google Ads,10647,1317,360,142,2887.03
6/20/2024,Instagram,11980,1138,240,102,3419.05
6/20/2024,YouTube,8720,1205,369,175,2802.28
6/21/2024,Google Ads,8098,1129,350,146,2352.3
6/21/2024,Instagram,7067,836,325,112,2216.43
6/21/2024,YouTube,7568,1024,205,78,2065.74
6/22/2024,Google Ads,14135,1611,363,164,4698.3
6/22/2024,Instagram,11815,1006,208,73,3547.66
6/22/2024,YouTube,13384,1799,554,218,4219.31
6/23/2024,Google Ads,9062,902,247,114,3168.83
6/23/2024,Instagram,13736,1611,499,151,4053.09
6/23/2024,YouTube,12466,1818,722,326,3545.2
6/24/2024,Google Ads,8679,1098,251,110,2959.64
6/24/2024,Instagram,8167,1178,351,171,2309.81
6/24/2024,YouTube,14428,2127,667,251,3610.57
6/25/2024,Google Ads,10908,1074,272,89,3006.13
6/25/2024,Instagram,12327,1058,293,131,3876.52
6/25/2024,YouTube,11909,1162,352,128,3227.42
6/26/2024,Google Ads,10525,1465,309,118,3094.52
6/26/2024,Instagram,7355,779,201,71,2490.79
6/26/2024,YouTube,12208,1638,379,160,3138.55
6/27/2024,Google Ads,14319,1254,374,143,4254
6/27/2024,Instagram,7911,995,255,94,2377.57
6/27/2024,YouTube,9706,1033,336,112,2865.57
6/28/2024,Google Ads,9906,847,252,113,3003.22
6/28/2024,Instagram,8047,778,196,74,2239.36
6/28/2024,YouTube,10015,1048,224,75,2921.42
6/29/2024,Google Ads,8904,1036,254,99,2705.61
6/29/2024,Instagram,12318,1253,338,106,3101.08
6/29/2024,YouTube,8304,811,166,75,2545.87
